state,district,party,candidate,votes
MO,3rd District,DEM,Kevin Miller,102484
MO,3rd District,Other,Dan Hogan,11906
MO,3rd District,Other,Doanita Simmons,3586
MO,4th District,REP,Vicky Hartzler,225034
MO,4th District,DEM,Gordon Christensen,92385
MO,4th District,Other,Mark Bliss,14355
MO,5th District,DEM,Emanuel Cleaver,185494
MO,5th District,REP,Jacob Turk,122367
MO,5th District,Other,Roy Welborn,9594
MO,6th District,REP,Sam Graves,236938
MO,6th District,DEM,David Blackwell,98588
MO,6th District,Other,Russ Monchil,8051
MO,6th District,Other,Mike Diel,4202
MO,7th District,REP,Billy Long,228001
MO,7th District,DEM,Genevieve Williams,92390
MO,7th District,Other,Benjamin Brixey,17076
MO,8th District,REP,Jason Smith,229648
MO,8th District,DEM,Dave Cowell,69949
MO,8th District,Other,Jonathan Shell,9059
MT,1st District,REP,Ryan Zinke,280472
MT,1st District,DEM,Denise Juneau,201758
MT,1st District,Other,Rick Breckenridge,15949
NE,1st District,REP,Jeff Fortenberry,187258
NE,1st District,DEM,Daniel Wik,81939
NE,2nd District,REP,Don Bacon,134291
NE,2nd District,DEM,Brad Ashford,128739
NE,2nd District,Other,Steven Laird,9057
NE,3rd District,REP,Adrian Smith,0
NV,1st District,DEM,Dina Titus,116045
NV,1st District,REP,Mary Perry,54053
NV,1st District,Other,Reuben D'Silva,13806
NV,1st District,Other,Kamau Bakari,3722
NV,2nd District,REP,Mark Amodei,182452
NV,2nd District,DEM,Chip Evans,115395
NV,2nd District,Other,John Everhart,8660
NV,2nd District,Other,Drew Knight,6204
NV,3rd District,DEM,Jacky Rosen,146653
NV,3rd District,REP,Danny Tarkanian,142726
NV,3rd District,Other,Warren Markowitz,11580
NV,3rd District,Other,David Goossen,9551
NV,4th District,DEM,Ruben Kihuen,128680
NV,4th District,REP,Cresent Hardy,118220
NV,4th District,Other,Steve Brown,10184
NV,4th District,Other,Mike Little,8307
NH,1st District,DEM,Carol Shea-Porter,161828
NH,1st District,REP,Frank Guinta,157011
NH,1st District,Other,Shawn O'Connor,34612
NH,1st District,Other,Robert Lombardo,6842
NH,1st District,Other,Brendan Kelly,6046
NH,2nd District,DEM,Ann Kuster,174386
NH,2nd District,REP,Jim Lawrence,158960
NH,2nd District,Other,John Babiarz,16843
NJ,1st District,DEM,Donald Norcross,178655
NJ,1st District,REP,Bob Patterson,110235
NJ,1st District,Other,Scot Tomaszewski,5365
NJ,1st District,Other,William Sihr,2352
NJ,1st District,Other,Mike Berman,1916
